waktu,tag,lat,long,tag_tujuan,tujuan_terdekat,durasi_tempuh,durasi_tempuh_unit,jarak_tempuh,jarak_tempuh_unit,rute
2023-02-06_13-07,mengemudi,-6.335270000969643,106.81697586983684,hospital,"Hospital Ali Sibroh Malisi, Jl. Wr. Sila No.1, RT.8/RW.5, Gudang Baru, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",6.0,min,1.5,km,Jl. Swadaya Gudang Baru
2023-02-06_13-07,mengemudi,-6.335270000969643,106.81697586983684,hospital,"Hospital Ali Sibroh Malisi, Jl. Wr. Sila No.1, RT.8/RW.5, Gudang Baru, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",6.0,min,1.5,km,Jl. Wr. Sila
2023-02-06_13-08,mengemudi,-6.164652351852047,106.7116934183716,hospital,"Perum pasar prumahan pasar perkunjungan pasar berplanjaan, VP2P+G3Q, RT.11/RW.4, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",21.0,min,4.9,km,Jl. Dharma Griya Raya
2023-02-06_13-08,mengemudi,-6.164652351852047,106.7116934183716,hospital,"Perum pasar prumahan pasar perkunjungan pasar berplanjaan, VP2P+G3Q, RT.11/RW.4, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",21.0,min,4.9,km,Jl. Taman Semanan Raya
2023-02-06_13-08,mengemudi,-6.164652351852047,106.7116934183716,hospital,"Perum pasar prumahan pasar perkunjungan pasar berplanjaan, VP2P+G3Q, RT.11/RW.4, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",21.0,min,4.9,km,Jl. Raya Duri Kosambi
2023-02-06_13-08,mengemudi,-6.164652351852047,106.7116934183716,hospital,"Perum pasar prumahan pasar perkunjungan pasar berplanjaan, VP2P+G3Q, RT.11/RW.4, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",21.0,min,4.9,km,Jl. Lkr. Luar Barat
2023-02-06_13-08,mengemudi,-6.164652351852047,106.7116934183716,hospital,"Perum pasar prumahan pasar perkunjungan pasar berplanjaan, VP2P+G3Q, RT.11/RW.4, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",21.0,min,4.9,km,Jl. Raya Daan Mogot
2023-02-06_13-08,mengemudi,-6.164652351852047,106.7116934183716,hospital,"Perum pasar prumahan pasar perkunjungan pasar berplanjaan, VP2P+G3Q, RT.11/RW.4, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",21.0,min,4.9,km,Jl. Raya Pantura
2023-02-06_13-08,mengemudi,-6.164652351852047,106.7116934183716,hospital,"Perum pasar prumahan pasar perkunjungan pasar berplanjaan, VP2P+G3Q, RT.11/RW.4, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",21.0,min,4.9,km,Jl. Masjid Nurul Huda
2023-02-06_13-08,mengemudi,-6.164652351852047,106.7116934183716,hospital,"Perum pasar prumahan pasar perkunjungan pasar berplanjaan, VP2P+G3Q, RT.11/RW.4, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",21.0,min,4.9,km,Jl. Nurul Amal Raya
2023-02-06_13-08,mengemudi,-6.164652351852047,106.7116934183716,hospital,"Perum pasar prumahan pasar perkunjungan pasar berplanjaan, VP2P+G3Q, RT.11/RW.4, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",21.0,min,4.9,km,Jl. Fajar Baru Selatan
2023-02-06_13-08,mengemudi,-6.164652351852047,106.7116934183716,hospital,"Perum pasar prumahan pasar perkunjungan pasar berplanjaan, VP2P+G3Q, RT.11/RW.4, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",21.0,min,4.9,km,Jl. Puspa II
2023-02-06_13-08,mengemudi,-6.246421209480209,106.84030479010774,hospital,"ICU, Wisma Haroen, Jl. Raya Pasar Minggu No.2G, RT.3/RW.1, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",10.0,min,2.5,km,Jl. Triloka
2023-02-06_13-08,mengemudi,-6.246421209480209,106.84030479010774,hospital,"ICU, Wisma Haroen, Jl. Raya Pasar Minggu No.2G, RT.3/RW.1, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",10.0,min,2.5,km,Jl. Raya Pasar Minggu
2023-02-06_13-08,mengemudi,-6.246421209480209,106.84030479010774,hospital,"ICU, Wisma Haroen, Jl. Raya Pasar Minggu No.2G, RT.3/RW.1, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",10.0,min,2.5,km,Jl. Triloka II
2023-02-06_13-08,mengemudi,-6.246421209480209,106.84030479010774,hospital,"ICU, Wisma Haroen, Jl. Raya Pasar Minggu No.2G, RT.3/RW.1, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",10.0,min,2.5,km,Jl. Raya Kalibata
2023-02-06_13-08,mengemudi,-6.246421209480209,106.84030479010774,hospital,"ICU, Wisma Haroen, Jl. Raya Pasar Minggu No.2G, RT.3/RW.1, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",10.0,min,2.5,km,Jl. TMP. Kalibata
2023-02-06_13-09,mengemudi,-6.1373783596749885,106.92342300688676,hospital,"Mulyasari Hospital, Jl. Plumpang Semper No.19, RT.6/RW.12, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260",18.0,min,8.2,km,Jl. Sumatera
2023-02-06_13-09,mengemudi,-6.1373783596749885,106.92342300688676,hospital,"Mulyasari Hospital, Jl. Plumpang Semper No.19, RT.6/RW.12, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260",18.0,min,8.2,km,Jl. Jawa
2023-02-06_13-09,mengemudi,-6.1373783596749885,106.92342300688676,hospital,"Mulyasari Hospital, Jl. Plumpang Semper No.19, RT.6/RW.12, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260",18.0,min,8.2,km,Jl. Cakung Cilincing Raya
2023-02-06_13-09,mengemudi,-6.1373783596749885,106.92342300688676,hospital,"Mulyasari Hospital, Jl. Plumpang Semper No.19, RT.6/RW.12, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260",18.0,min,8.2,km,Jl. Plumpang Semper
2023-02-06_13-09,mengemudi,-6.330150855088693,106.9019212912598,hospital,"Jati Sampurna Hospital, Jl. Rw. Dolar, RT.003/RW.007, Jatiraden, Jatisampurna, Bekasi City, West Java 17433",18.0,min,5.5,km,Jl. Cilangkap Raya
2023-02-06_13-09,mengemudi,-6.330150855088693,106.9019212912598,hospital,"Jati Sampurna Hospital, Jl. Rw. Dolar, RT.003/RW.007, Jatiraden, Jatisampurna, Bekasi City, West Java 17433",18.0,min,5.5,km,Jl. Pintu 2 Mabes TNI AL
2023-02-06_13-09,mengemudi,-6.330150855088693,106.9019212912598,hospital,"Jati Sampurna Hospital, Jl. Rw. Dolar, RT.003/RW.007, Jatiraden, Jatisampurna, Bekasi City, West Java 17433",18.0,min,5.5,km,Jl. Raya Cilangkap
2023-02-06_13-09,mengemudi,-6.330150855088693,106.9019212912598,hospital,"Jati Sampurna Hospital, Jl. Rw. Dolar, RT.003/RW.007, Jatiraden, Jatisampurna, Bekasi City, West Java 17433",18.0,min,5.5,km,Jl. Pd. Ranggon
2023-02-06_13-09,mengemudi,-6.330150855088693,106.9019212912598,hospital,"Jati Sampurna Hospital, Jl. Rw. Dolar, RT.003/RW.007, Jatiraden, Jatisampurna, Bekasi City, West Java 17433",18.0,min,5.5,km,Jl. Swadaya
2023-02-06_13-09,mengemudi,-6.330150855088693,106.9019212912598,hospital,"Jati Sampurna Hospital, Jl. Rw. Dolar, RT.003/RW.007, Jatiraden, Jatisampurna, Bekasi City, West Java 17433",18.0,min,5.5,km,Jl. Ganceng
2023-02-06_13-09,mengemudi,-6.330150855088693,106.9019212912598,hospital,"Jati Sampurna Hospital, Jl. Rw. Dolar, RT.003/RW.007, Jatiraden, Jatisampurna, Bekasi City, West Java 17433",18.0,min,5.5,km,Jl. Cilangkap Baru
2023-02-06_13-09,mengemudi,-6.330150855088693,106.9019212912598,hospital,"Jati Sampurna Hospital, Jl. Rw. Dolar, RT.003/RW.007, Jatiraden, Jatisampurna, Bekasi City, West Java 17433",18.0,min,5.5,km,Jl. Kramat Ganceng
2023-02-06_13-09,mengemudi,-6.330150855088693,106.9019212912598,hospital,"Jati Sampurna Hospital, Jl. Rw. Dolar, RT.003/RW.007, Jatiraden, Jatisampurna, Bekasi City, West Java 17433",18.0,min,5.5,km,Jl. Raya Kranggan
2023-02-06_13-09,mengemudi,-6.330150855088693,106.9019212912598,hospital,"Jati Sampurna Hospital, Jl. Rw. Dolar, RT.003/RW.007, Jatiraden, Jatisampurna, Bekasi City, West Java 17433",18.0,min,5.5,km,Jl. Rw. Dolar
2023-02-06_13-10,mengemudi,-6.1692215552355725,106.93497091178776,hospital,Gading Pluit Hospital,10.0,min,4.6,km,Jl. Tipar Cakung
2023-02-06_13-10,mengemudi,-6.1692215552355725,106.93497091178776,hospital,Gading Pluit Hospital,10.0,min,4.6,km,Jl. Sedayu City Klp. Gading
2023-02-06_13-10,mengemudi,-6.1692215552355725,106.93497091178776,hospital,Gading Pluit Hospital,10.0,min,4.6,km,Jl. Boulevard Timur
2023-02-06_13-10,mengemudi,-6.291858148489384,106.86957718469148,hospital,"Kramat Jati, Jl. Raya Inpres No.8, RT.2/RW.3, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540",6.0,min,1.5,km,Jl. Smu 93
2023-02-06_13-10,mengemudi,-6.291858148489384,106.86957718469148,hospital,"Kramat Jati, Jl. Raya Inpres No.8, RT.2/RW.3, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540",6.0,min,1.5,km,Jl. Elang
2023-02-06_13-10,mengemudi,-6.291858148489384,106.86957718469148,hospital,"Kramat Jati, Jl. Raya Inpres No.8, RT.2/RW.3, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540",6.0,min,1.5,km,Jl. Merpati
2023-02-06_13-10,mengemudi,-6.291858148489384,106.86957718469148,hospital,"Kramat Jati, Jl. Raya Inpres No.8, RT.2/RW.3, Batu Ampar, Kec. Kramat jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13540",6.0,min,1.5,km,Jl. Raya Inpres
2023-02-06_13-11,mengemudi,-6.196208077146248,106.7431281098636,hospital,"Siloam Hospitals Kebon Jeruk, Jl. Perjuangan No.8, RT.14/RW.10, Kebon Jeruk, Kebonjeruk, West Jakarta City, Jakarta 11530",8.0,min,3.7,km,Jl. Taman Aries
2023-02-06_13-11,mengemudi,-6.196208077146248,106.7431281098636,hospital,"Siloam Hospitals Kebon Jeruk, Jl. Perjuangan No.8, RT.14/RW.10, Kebon Jeruk, Kebonjeruk, West Jakarta City, Jakarta 11530",8.0,min,3.7,km,Jl. Perjuangan
2023-02-06_13-12,mengemudi,-6.231930959720041,106.90436989571518,hospital,"Ruang ICU Lt. 3, Jl. S. Kalimalang Tarum Barat No.31, RT.1/RW.13, Cipinang Melayu, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13620",10.0,min,3.3,km,Jl. Gading Raya
2023-02-06_13-12,mengemudi,-6.231930959720041,106.90436989571518,hospital,"Ruang ICU Lt. 3, Jl. S. Kalimalang Tarum Barat No.31, RT.1/RW.13, Cipinang Melayu, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13620",10.0,min,3.3,km,Jl. Kejaksaan I
2023-02-06_13-12,mengemudi,-6.231930959720041,106.90436989571518,hospital,"Ruang ICU Lt. 3, Jl. S. Kalimalang Tarum Barat No.31, RT.1/RW.13, Cipinang Melayu, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13620",10.0,min,3.3,km,Jl. Poncol Raya
2023-02-06_13-12,mengemudi,-6.231930959720041,106.90436989571518,hospital,"Ruang ICU Lt. 3, Jl. S. Kalimalang Tarum Barat No.31, RT.1/RW.13, Cipinang Melayu, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13620",10.0,min,3.3,km,Jl. Pahlawan Revolusi
2023-02-06_13-12,mengemudi,-6.231930959720041,106.90436989571518,hospital,"Ruang ICU Lt. 3, Jl. S. Kalimalang Tarum Barat No.31, RT.1/RW.13, Cipinang Melayu, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13620",10.0,min,3.3,km,Jl. Raya Kalimalang
2023-02-06_13-13,mengemudi,-6.138201916944243,106.91678229355568,hospital,"Mulyasari Hospital, Jl. Plumpang Semper No.19, RT.6/RW.12, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260",10.0,min,3.4,km,Jl. Rw. Indah
2023-02-06_13-13,mengemudi,-6.138201916944243,106.91678229355568,hospital,"Mulyasari Hospital, Jl. Plumpang Semper No.19, RT.6/RW.12, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260",10.0,min,3.4,km,Jl. Gading Griya Lestari
2023-02-06_13-13,mengemudi,-6.138201916944243,106.91678229355568,hospital,"Mulyasari Hospital, Jl. Plumpang Semper No.19, RT.6/RW.12, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260",10.0,min,3.4,km,Jl. Logistik
2023-02-06_13-13,mengemudi,-6.138201916944243,106.91678229355568,hospital,"Mulyasari Hospital, Jl. Plumpang Semper No.19, RT.6/RW.12, Tugu Utara, Kec. Koja, Jkt Utara, Daerah Khusus Ibukota Jakarta 14260",10.0,min,3.4,km,Jl. Pegangsaan Dua
2023-02-06_13-14,mengemudi,-6.1579856474581725,106.77786211626815,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",10.0,min,3.0,km,Jl. Perdana Kusuma
2023-02-06_13-14,mengemudi,-6.1579856474581725,106.77786211626815,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",10.0,min,3.0,km,Jl. Pangeran Tubagus Angke
2023-02-06_13-14,mengemudi,-6.1579856474581725,106.77786211626815,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",10.0,min,3.0,km,Jl. Raya Pantura
2023-02-06_13-14,mengemudi,-6.1579856474581725,106.77786211626815,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",10.0,min,3.0,km,Jl. Kedoya Raya
2023-02-06_13-14,mengemudi,-6.1579856474581725,106.77786211626815,hospital,"RS Grha Kedoya, Jl. Panjang No.26, RT.15/RW.7, North Kedoya, Kebonjeruk, West Jakarta City, Jakarta 11520",10.0,min,3.0,km,Jl. Panjang
2023-02-06_13-14,mengemudi,-6.276490148195013,106.82724612084957,hospital,"Rumah Sakit Jakarta Medical Center (JMC), Jl. Hj. Tutty Alawiyah No.15, RT.1/RW.9, Kalibata, Pancoran, South Jakarta City, Jakarta 12740",4.0,min,1.4,km,Jl. Pejaten Barat III
2023-02-06_13-14,mengemudi,-6.276490148195013,106.82724612084957,hospital,"Rumah Sakit Jakarta Medical Center (JMC), Jl. Hj. Tutty Alawiyah No.15, RT.1/RW.9, Kalibata, Pancoran, South Jakarta City, Jakarta 12740",4.0,min,1.4,km,Jl. Pejaten Barat Raya
2023-02-06_13-14,mengemudi,-6.276490148195013,106.82724612084957,hospital,"Rumah Sakit Jakarta Medical Center (JMC), Jl. Hj. Tutty Alawiyah No.15, RT.1/RW.9, Kalibata, Pancoran, South Jakarta City, Jakarta 12740",4.0,min,1.4,km,Jl. Hj. Tutty Alawiyah
2023-02-06_13-15,mengemudi,-6.333839351980449,106.81650133607448,hospital,"Hospital Ali Sibroh Malisi, Jl. Wr. Sila No.1, RT.8/RW.5, Gudang Baru, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",8.0,min,1.7,km,Jl. Kav. Balai Rakyat
2023-02-06_13-15,mengemudi,-6.333839351980449,106.81650133607448,hospital,"Hospital Ali Sibroh Malisi, Jl. Wr. Sila No.1, RT.8/RW.5, Gudang Baru, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",8.0,min,1.7,km,Jl. Balai Rakyat
2023-02-06_13-15,mengemudi,-6.333839351980449,106.81650133607448,hospital,"Hospital Ali Sibroh Malisi, Jl. Wr. Sila No.1, RT.8/RW.5, Gudang Baru, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",8.0,min,1.7,km,Jl. Anggrek
2023-02-06_13-15,mengemudi,-6.333839351980449,106.81650133607448,hospital,"Hospital Ali Sibroh Malisi, Jl. Wr. Sila No.1, RT.8/RW.5, Gudang Baru, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",8.0,min,1.7,km,Jl. Sirsak
2023-02-06_13-15,mengemudi,-6.333839351980449,106.81650133607448,hospital,"Hospital Ali Sibroh Malisi, Jl. Wr. Sila No.1, RT.8/RW.5, Gudang Baru, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",8.0,min,1.7,km,Jl. Swadaya Gudang Baru
2023-02-06_13-15,mengemudi,-6.333839351980449,106.81650133607448,hospital,"Hospital Ali Sibroh Malisi, Jl. Wr. Sila No.1, RT.8/RW.5, Gudang Baru, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630",8.0,min,1.7,km,Jl. Wr. Sila
2023-02-06_13-16,mengemudi,-6.155315109585044,106.94105040585852,hospital,"Jakarta Islamic Hospital Sukapura, Jl. Tipar Cakung No.5, RT.5/RW.5, Sukapura, Cilincing, North Jakarta City, Jakarta 14140",14.0,min,6.5,km,Jl. Rorotan Lama
2023-02-06_13-16,mengemudi,-6.155315109585044,106.94105040585852,hospital,"Jakarta Islamic Hospital Sukapura, Jl. Tipar Cakung No.5, RT.5/RW.5, Sukapura, Cilincing, North Jakarta City, Jakarta 14140",14.0,min,6.5,km,Jl. Cakung Cilincing Raya
